0.15936,Lactose,63-42-3
-0.03399,X2.Aminobutyrate,1492-24-6
-0.083152,X2.Fucosyllactose,41263-94-9
-0.19204,X2.Hydroxybutyrate,565-70-8
-0.18417,X2.Oxoglutarate,328-50-7
0.085456,X3.Fucosyllactose,41312-47-4
0.080925,X3SL.partial,NA
-0.26505,X6SL.partial,NA
-0.059824,Acetaminophen,103-90-2
-0.10114,Acetate,64-19-7
0.035446,Acetoin,513-86-0
-0.15391,Acetone,67-64-1
0.068029,Alanine,56-41-7
0.042703,Aspartate,56-84-8
-0.098978,Betaine,107-43-7
0.16889,Butyrate,107-92-6
0.12698,Caffeine,58-08-2
0.060827,Caprate,334-48-5
0.082958,Caprylate,124-07-2
-0.12981,Carnitine,541-15-1
-0.011301,Choline,62-49-7
-0.081577,Citicoline,987-78-0
0.0020544,Citrate,77-92-9
-0.1474,Creatine,57-00-1
-0.051893,Creatine.phosphate,67-07-2
0.019464,Creatinine,60-27-5
-0.11467,DSLNT.partial,61278-38-4
-0.065209,Ethanolamine,141-43-5
-0.13108,Formate,64-18-6
-0.19097,Fucose,2438-80-4
-0.12548,Fumarate,110-17-8
0.13556,Galactose,59-23-4
0.17439,Glucose,50-99-7
0.060622,Glutamate,56-86-0
0.050675,Glutamine,56-85-9
0.11273,Hippurate,495-69-2
-0.03963,Isoleucine,73-32-5
-0.13177,LDFT,20768-11-0
-0.16261,LNDFH.I,16789-38-1
0.015489,LNDFH.II,62258-12-2
-0.17366,LNFP.I,7578-25-8
0.017649,LNT,14116-68-8
-0.11764,LNnT,13007-32-4
-0.10881,Lactate,79-33-4
0.047169,Leucine,61-90-5
-0.19497,Lysine,56-87-1
0.14993,Methionine,63-68-3
0.10625,Nicotinamide.ribotide,75414-16-3
-0.10952,O.Acetylcarnitine,3040-38-8
-0.073638,O.Phosphocholine,107-73-3
0.10553,Pantothenate,79-83-4
0.17629,Phenylalanine,63-91-2
0.032012,Pyruvate,127-17-3
-0.23841,Succinate,110-15-6
-0.04972,Taurine,107-35-7
-0.020115,Threonine,72-19-5
0.059784,Tyrosine,60-18-4
-0.26459,Unk..HMO.1.70.Sialylated,NA
-0.053015,Unk..HMO.5.076,NA
-0.19406,Unk..HMO.5.09,NA
0.025633,Unk..HMO.5.10,NA
-0.045726,Unk..HMO.5.11,NA
-0.16861,Unk..HMO.5.29,NA
0.026786,Unk..HMO.5.359,NA
0.098982,Urea,57-13-6
-0.0037398,Valine,72-18-4
0.093212,cis.Aconitate,585-84-2
-0.052652,myo.Inositol,87-89-8
0.16693,sn.Glycero.3.phosphocholine,28319-77-9
0.084851,Ï„.Methylhistidine,332-80-9
